Nome Algoritmo;K-Fold;Acurácia;Precisão;Sensibilidade;Taxa de Falsa Previsão Positiva;Tempo de Processamento (s);VN;FP;FN;VP
RandomForest-100;1;0,815;0,806;0,883;0,645;0,01558971;83;31;17;129
RandomForest-100;2;0,88;0,932;0,867;0,322;0,02010297;91;10;21;138
RandomForest-100;3;0,8;0,815;0,847;0,557;0,01558995;80;29;23;128
RandomForest-100;4;0,83;0,958;0,786;0,136;0,02212786;76;6;38;140
RandomForest-100;5;0,85;0,878;0,884;0,512;0,0155909;76;20;19;145
RandomForest-100;6;0,823;0,875;0,819;0,391;0,02212572;87;18;28;127
RandomForest-100;7;0,838;0,84;0,875;0,571;0,01562142;92;24;18;126
RandomForest-100;8;0,85;0,846;0,907;0,641;0,0156238;83;25;14;138
RandomForest-100;9;0,842;0,874;0,857;0,463;0,01562094;87;19;22;132
RandomForest-100;10;0,823;0,836;0,848;0,521;0,00650501;91;24;22;123
;;;;;;;;;;
Médias;;83,51%;86,60%;85,73%;47,59%;0,016449828;84,6;20,6;22,2;132,6
